Name,Resource type,Project Id,Display name,Create time,Update time,Status,Folders,Organization,Parent asset type,Parent full resource name,KMS keys,Direct tags,Description,Location,Labels,Network tags,Additional attributes
"//serviceusage.googleapis.com/projects/699933893618/services/source.googleapis.com","serviceusage.Service","prj-c-scc-2i5a","source.googleapis.com","null","null","ENABLED","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/699933893618/services/cloudresourcemanager.googleapis.com","serviceusage.Service","prj-c-scc-2i5a","cloudresourcemanager.googleapis.com","null","null","ENABLED","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/699933893618/services/cloudbuild.googleapis.com","serviceusage.Service","prj-c-scc-2i5a","cloudbuild.googleapis.com","null","null","ENABLED","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/699933893618/services/logging.googleapis.com","serviceusage.Service","prj-c-scc-2i5a","logging.googleapis.com","null","null","ENABLED","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","global","{}","[]","null"
"//logging.googleapis.com/projects/699933893618/sinks/_Required","logging.LogSink","prj-c-scc-2i5a","_Required","null","null","","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/699933893618/services/artifactregistry.googleapis.com","serviceusage.Service","prj-c-scc-2i5a","artifactregistry.googleapis.com","null","null","ENABLED","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","global","{}","[]","null"
"//pubsub.googleapis.com/projects/prj-c-scc-2i5a/subscriptions/eventarc-northamerica-northeast2-caimonitoring-263194-sub-815","pubsub.Subscription","prj-c-scc-2i5a","projects/prj-c-scc-2i5a/subscriptions/eventarc-northamerica-northeast2-caimonitoring-263194-sub-815","null","null","","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","global","{goog-drz-eventarc-location:northamerica-northeast2,goog-eventarc:,goog-drz-eventarc-uuid:a7245392-06d1-4dc2-a505-dfde5c218f1a}","[]","null"
"//eventarc.googleapis.com/projects/prj-c-scc-2i5a/locations/northamerica-northeast2/triggers/caimonitoring-263194","eventarc.Trigger","prj-c-scc-2i5a","projects/prj-c-scc-2i5a/locations/northamerica-northeast2/triggers/caimonitoring-263194","2024-03-18T14:13:50Z","2024-03-18T14:13:55Z","","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","northamerica-northeast2","{}","[]","null"
"//run.googleapis.com/projects/prj-c-scc-2i5a/locations/northamerica-northeast2/revisions/caimonitoring-00001-maw","run.Revision","prj-c-scc-2i5a","caimonitoring-00001-maw","2024-03-18T14:12:59Z","null","","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","run.googleapis.com/Service","//run.googleapis.com/projects/prj-c-scc-2i5a/locations/northamerica-northeast2/services/caimonitoring","[]","[]","","northamerica-northeast2","{serving.knative.dev/route:caimonitoring,serving.knative.dev/serviceUid:95b3f646-f5e8-47ac-87fd-33ec239abb11,serving.knative.dev/configurationGeneration:1,goog-cloudfunctions-runtime:nodejs20,cloud.googleapis.com/location:northamerica-northeast2,serving.knative.dev/configuration:caimonitoring,run.googleapis.com/startupProbeType:Default,goog-managed-by:cloudfunctions,serving.knative.dev/service:caimonitoring}","[]","{statusImageDigest:northamerica-northeast2-docker.pkg.dev/prj-c-scc-2i5a/ar-cai-monitoring-5003/cai_monitoring@sha256:0119835dce713f484d69a5e81e752d1c435e41b0f7c17bda2c4bf7171e8b8452}"
"//run.googleapis.com/projects/prj-c-scc-2i5a/locations/northamerica-northeast2/services/caimonitoring","run.Service","prj-c-scc-2i5a","caimonitoring","2024-03-18T14:12:58Z","null","","[folders/246951171519,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-scc-2i5a","[]","[]","","northamerica-northeast2","{goog-cloudfunctions-runtime:nodejs20,goog-managed-by:cloudfunctions,cloud.googleapis.com/location:northamerica-northeast2}","[]","{statusUrl:https://caimonitoring-6wq7h2oc5q-pd.a.run.app}"
