Name,Resource type,Project Id,Display name,Create time,Update time,Status,Folders,Organization,Parent asset type,Parent full resource name,KMS keys,Direct tags,Description,Location,Labels,Network tags,Additional attributes
"//iam.googleapis.com/projects/prj-c-interconnect-m7uw/serviceAccounts/project-service-account@prj-c-interconnect-m7uw.iam.gserviceaccount.com","iam.ServiceAccount","prj-c-interconnect-m7uw","prj-c-interconnect Project Service Account","null","null","ENABLED","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","","{}","[]","{email:project-service-account@prj-c-interconnect-m7uw.iam.gserviceaccount.com,uniqueId:106554101010785620434}"
"//compute.googleapis.com/projects/prj-c-interconnect-m7uw","compute.Project","prj-c-interconnect-m7uw","prj-c-interconnect-m7uw","2024-03-15T15:04:37Z","null","","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","global","{}","[]","{xpnProjectStatus:UNSPECIFIED_XPN_PROJECT_STATUS}"
"//iam.googleapis.com/projects/prj-c-interconnect-m7uw/serviceAccounts/717820474795-compute@developer.gserviceaccount.com","iam.ServiceAccount","prj-c-interconnect-m7uw","Compute Engine default service account","null","null","ENABLED","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","","{}","[]","{email:717820474795-compute@developer.gserviceaccount.com,uniqueId:118191436962563825602}"
"//cloudbilling.googleapis.com/projects/prj-c-interconnect-m7uw/billingInfo","cloudbilling.ProjectBillingInfo","prj-c-interconnect-m7uw","projects/prj-c-interconnect-m7uw/billingInfo","null","null","ACTIVE","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","global","{}","[]","null"
"//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","cloudresourcemanager.Project","prj-c-interconnect-m7uw","prj-c-interconnect","2024-03-15T15:04:10Z","null","ACTIVE","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Folder","//cloudresourcemanager.googleapis.com/folders/279563041330","[]","[]","","global","{env_code:p,billing_code:1234,secondary_contact:example2,primary_contact:example1,environment:production,business_code:abcd,application_name:org-interconnect}","[]","{projectId:prj-c-interconnect-m7uw}"
"//serviceusage.googleapis.com/projects/717820474795/services/compute.googleapis.com","serviceusage.Service","prj-c-interconnect-m7uw","compute.googleapis.com","null","null","ENABLED","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","global","{}","[]","null"
"//logging.googleapis.com/projects/717820474795/sinks/_Default","logging.LogSink","prj-c-interconnect-m7uw","_Default","null","null","","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","global","{}","[]","null"
"//logging.googleapis.com/projects/717820474795/locations/northamerica-northeast2/buckets/_Default","logging.LogBucket","prj-c-interconnect-m7uw","projects/717820474795/locations/northamerica-northeast2/buckets/_Default","null","null","ACTIVE","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","Default bucket","northamerica-northeast2","{}","[]","null"
"//serviceusage.googleapis.com/projects/717820474795/services/billingbudgets.googleapis.com","serviceusage.Service","prj-c-interconnect-m7uw","billingbudgets.googleapis.com","null","null","ENABLED","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","global","{}","[]","null"
"//logging.googleapis.com/projects/717820474795/locations/northamerica-northeast2/buckets/_Required","logging.LogBucket","prj-c-interconnect-m7uw","projects/717820474795/locations/northamerica-northeast2/buckets/_Required","null","null","ACTIVE","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","Audit bucket","northamerica-northeast2","{}","[]","null"
"//logging.googleapis.com/projects/717820474795/sinks/_Required","logging.LogSink","prj-c-interconnect-m7uw","_Required","null","null","","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/717820474795/services/oslogin.googleapis.com","serviceusage.Service","prj-c-interconnect-m7uw","oslogin.googleapis.com","null","null","ENABLED","[folders/279563041330,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-c-interconnect-m7uw","[]","[]","","global","{}","[]","null"
