Name,Resource type,Project Id,Display name,Create time,Update time,Status,Folders,Organization,Parent asset type,Parent full resource name,KMS keys,Direct tags,Description,Location,Labels,Network tags,Additional attributes
"//serviceusage.googleapis.com/projects/608620979906/services/billingbudgets.googleapis.com","serviceusage.Service","prj-p-bu2sample-floating-x2bf","billingbudgets.googleapis.com","null","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","","global","{}","[]","null"
"//iam.googleapis.com/projects/prj-p-bu2sample-floating-x2bf/serviceAccounts/project-service-account@prj-p-bu2sample-floating-x2bf.iam.gserviceaccount.com","iam.ServiceAccount","prj-p-bu2sample-floating-x2bf","prj-p-bu2sample-floating Project Service Account","null","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","","","{}","[]","{email:project-service-account@prj-p-bu2sample-floating-x2bf.iam.gserviceaccount.com,uniqueId:112320062756212824606}"
"//compute.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","compute.Project","prj-p-bu2sample-floating-x2bf","prj-p-bu2sample-floating-x2bf","2024-03-18T19:58:12Z","null","","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","","global","{}","[]","{xpnProjectStatus:UNSPECIFIED_XPN_PROJECT_STATUS}"
"//iam.googleapis.com/projects/prj-p-bu2sample-floating-x2bf/serviceAccounts/608620979906-compute@developer.gserviceaccount.com","iam.ServiceAccount","prj-p-bu2sample-floating-x2bf","Compute Engine default service account","null","null","DISABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","","","{}","[]","{email:608620979906-compute@developer.gserviceaccount.com,uniqueId:116749212545460129835}"
"//cloudbilling.googleapis.com/projects/prj-p-bu2sample-floating-x2bf/billingInfo","cloudbilling.ProjectBillingInfo","prj-p-bu2sample-floating-x2bf","projects/prj-p-bu2sample-floating-x2bf/billingInfo","null","null","ACTIVE","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","","global","{}","[]","null"
"//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","cloudresourcemanager.Project","prj-p-bu2sample-floating-x2bf","prj-p-bu2sample-floating","2024-03-18T19:57:45Z","null","ACTIVE","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Folder","//cloudresourcemanager.googleapis.com/folders/20352130948","[]","[]","","global","{business_code:bu2,application_name:bu2-sample-application,environment:production,env_code:p,secondary_contact:example2,billing_code:1234,primary_contact:example}","[]","{projectId:prj-p-bu2sample-floating-x2bf}"
"//logging.googleapis.com/projects/608620979906/locations/northamerica-northeast2/buckets/_Default","logging.LogBucket","prj-p-bu2sample-floating-x2bf","projects/608620979906/locations/northamerica-northeast2/buckets/_Default","null","null","ACTIVE","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","Default bucket","northamerica-northeast2","{}","[]","null"
"//logging.googleapis.com/projects/608620979906/locations/northamerica-northeast2/buckets/_Required","logging.LogBucket","prj-p-bu2sample-floating-x2bf","projects/608620979906/locations/northamerica-northeast2/buckets/_Required","null","null","ACTIVE","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","Audit bucket","northamerica-northeast2","{}","[]","null"
"//logging.googleapis.com/projects/608620979906/sinks/_Default","logging.LogSink","prj-p-bu2sample-floating-x2bf","_Default","null","null","","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","","global","{}","[]","null"
"//serviceusage.googleapis.com/projects/608620979906/services/oslogin.googleapis.com","serviceusage.Service","prj-p-bu2sample-floating-x2bf","oslogin.googleapis.com","null","null","ENABLED","[folders/20352130948,folders/380973402205,folders/1020261881397,folders/491776663180]","organizations/946862951350","cloudresourcemanager.googleapis.com/Project","//cloudresourcemanager.googleapis.com/projects/prj-p-bu2sample-floating-x2bf","[]","[]","","global","{}","[]","null"
